kw,kw2,kw3,n
collision,collisio,,5
collpas,collpa,s,1
colluricincla harmonica,harmonic,,2
colluvial sands vs limestone soils,one soil,s,1
colobinae,colobina,,1
colobines,colobine,s,1
colobus,colobu,s,1
colombia,colombi,,1
colombian amazon,an amazo,,5
colombian andes,ian ande,s,5
colombian forests,n forest,s,16
colombian pacific coast,fic coas,,3
colombian primatology,imatolog,,6
colomys-tener,mys-tene,,1
colonche hills,che hill,s,1
colonial and solitary breeding, breedin,,29
colonial birds,ial bird,s,4
colonial breeding, breedin,,29
colonial invertebrate,ertebrat,,10
colonial nesting,l nestin,,3
colonial seabird,l seabir,,1
colonial species,l specie,s,24
colonial versus solitary breeding, breedin,,29
coloniality,lonialit,,4
colonies,colonie,s,1
colonist abundance,abundanc,,78
colonist pool,nist poo,,1
colonists,colonist,s,1
colonization,onizatio,,45
colonization ability,n abilit,,4
colonization and extinction,xtinctio,,41
colonization and survival, surviva,,85
colonization capacity, capacit,,33
colonization credit,on credi,,2
colonization cycle,ion cycl,,9
colonization dynamics, dynamic,s,330
colonization history,n histor,,7
colonization history influence on community pattern,y patter,,5
colonization hypothesis,ypothesi,s,335
colonization limitation,imitatio,,105
colonization of niches,of niche,s,1
colonization of small habitat fragments,fragment,s,7
colonization pattern,n patter,,15
colonization rate,tion rat,,57
colonization resistance,esistanc,,97
colonization site selection,selectio,,298
colonization success,n succes,s,13
colonization success vs. interspecific competition,mpetitio,,174
competition colonization,onizatio,,45
colonization-competition trade-off,trade-of,,73
colonization-extinction dynamics, dynamic,s,330
colonization-extinction processes,processe,s,93
colonization&#8211,ion&#821,,1
colonize software, softwar,,6
colonizer,colonize,,1
colonizer syndrome, syndrom,,22
colonizing,olonizin,,1
colonizing populations,pulation,s,93
colonizing species,g specie,s,16
colony,colon,,1
colony attendance,ttendanc,,1
colony cycle model,cle mode,,3
colony defense,y defens,,4
colony demography,emograph,,56
colony densities,densitie,s,9
colony density,y densit,,7
colony development,velopmen,,95
colony dispersion,ispersio,,26
colony dynamics, dynamic,s,330
colony energetics,nergetic,s,22
colony extinction,xtinctio,,41
colony fidelity, fidelit,,17
colony fission,y fissio,,2
colony fissioning,issionin,,1
colony fitness,y fitnes,s,4
colony founding, foundin,,2
colony geographic structure,structur,,198
colony growth,ny growt,,1
colony integration,tegratio,,17
colony kin structure,structur,,198
colony monitoring,onitorin,,37
colony morphology,orpholog,,74
colony mortality,mortalit,,122
colony natality, natalit,,2
colony performance,rformanc,,60
colony productivity,ductivit,,69
colony quality,y qualit,,5
colony size,lony siz,,1
colony state,ony stat,,1
colony structure,structur,,198
colony turnover, turnove,,45
colony-level benefit,l benefi,,3
colopeterus,lopeteru,s,1
colophospermum mopane,um mopan,,1
color,colo,,1
color bands,lor band,s,1
color categorization,orizatio,,3
color change,or chang,,5
color choice,or choic,,1
color discrimination,iminatio,,22
color divergence,ivergenc,,55
color evolution,evolutio,,298
color measurement,asuremen,,13
color morph frequency,frequenc,,32
color morphs,or morph,s,1
color ornament, ornamen,,3
color ornamentation,mentatio,,58
color pattern,r patter,,2
color pattern complexity,omplexit,,36
color pattern evolution,evolutio,,298
color perception,erceptio,,14
color polymorphism,ymorphis,,73
color reflectance,flectanc,,5
color signal,or signa,,1
color signaling,signalin,,19
color spectrum analysis, analysi,s,397
color variants, variant,s,2
color variation,variatio,,240
color vision,or visio,,3
color vision modeling, modelin,,95
color-pattern variation,variatio,,240
colorado,colorad,,1
colorado (usa),ado (usa,,2
colorado bats,rado bat,s,1
colorado front range,ont rang,,1
colorado plateau,o platea,,1
colorado plateau (usa),eau (usa,,1
"colorado plateau, desert, gutierrezia sarothrae, neighbor removal, plant competition",mpetitio,,174
colorado river,ado rive,,1
"colorado river, lower basin",wer basi,,1
colorado rockies,o rockie,s,1
colorado rocky mountains,mountain,s,36
coloration,oloratio,,35
coloration genetics, genetic,s,39
colored environmental noise,tal nois,,3
colored noise,red nois,,2
colostethus trinitatis,rinitati,s,1
colour,colou,,1
colouration change,on chang,,11
colpidium,colpidiu,,1
colpidium striatum, striatu,,4
colpidiurn striatum, striatu,,4
colpoda,colpod,,1
colpothrinax aphanopetala,anopetal,,1
coluber,colube,,1
coluber constrictor,nstricto,,1
colubrid snake,rid snak,,1
columba livia,mba livi,,1
columbia,columbi,,1
columbia river,bia rive,,1
columbian ground squirrel, squirre,,16
columbicola,lumbicol,,1
columbicola columbae, columba,,2
columbidae,olumbida,,1
columbiformes,mbiforme,s,1
columbina spp.,bina spp,,1
columbine,columbin,,1
columnar cacti,nar cact,,1
columnar cactus,ar cactu,s,1
colwells p,olwells ,,1
colwells predictability index,ity inde,,15
com-poisson,m-poisso,,1
comb size,comb siz,,1
combinatorial analysis, analysi,s,397
combinatorics,inatoric,s,1
combine methods,e method,s,12
combined effects,d effect,s,18
combined live-recapture and dead-recovery model,ery mode,,2
combined monocultures design,es desig,,2
combined resource and apparent competition,mpetitio,,174
combining data,ning dat,,1
combretaceae,bretacea,,1
combretum,combretu,,1
combretum fragrans, fragran,s,1
combretum fruticosum,ruticosu,,1
combretum racemosum,racemosu,,1
cominella virgata,a virgat,,4
commdyn database, databas,,9
commensal,commensa,,1
commensalism,mensalis,,4
commensalist networks, network,s,61
commercial,ommercia,,1
commercial logging,l loggin,,3
commercial stem,cial ste,,1
commercialization of wild animals,d animal,s,5
commiphora guillaumini,illaumin,,1
commission error,ion erro,,8
commodities,mmoditie,s,1
common,commo,,1
common [red] crossbill,crossbil,,1
common ash,ommon as,,1
common birds census,ds censu,s,1
common brood environment effect,nt effec,,6
common brown lemur,own lemu,,1
common brushtail possum,il possu,,3
common bush-tanager,h-tanage,,1
common buzzard,n buzzar,,1
common carp,mmon car,,1
common chokecherry,okecherr,,1
common crane,mon cran,,1
common cuckoo,on cucko,,1
common dolphin,n dolphi,,1
common ectomycorrhizal network,l networ,,9
common eider,mon eide,,1
common enemy hypothesis,ypothesi,s,335
common evening primrose, primros,,2
common frog,mmon fro,,1
common garden,on garde,,4
common garden and wild contrasts,contrast,s,10
common garden experiment,xperimen,,142
common garden study,den stud,,1
common garden trial,den tria,,1
common gardening experiment,xperimen,,142
common goby,mmon gob,,1
common goldeneye,goldeney,,2
common grackle,n grackl,,1
common groundsel,groundse,,1
common guillemot,guillemo,,3
common juniper,n junipe,,1
common litter experiment,xperimen,,142
common lizard,on lizar,,2
common loon,mmon loo,,1
common marmoset, marmose,,1
common milkweed, milkwee,,2
common milkweed asclepias syriaca,s syriac,,2
common morning glory,ing glor,,3
common murre,mon murr,,1
common mycorrhizal network,l networ,,9
common mycorrhizal network (cmn),ork (cmn,,1
common myna,mmon myn,,1
common pencil sea urchin,ea urchi,,3
common principal components,omponent,s,23
common principal components analysis, analysi,s,397
common ragweed,n ragwee,,1
common raven,mon rave,,1
common reed,mmon ree,,1
common shrew,mon shre,,1
common species,n specie,s,15
common swift,mon swif,,1
common tern,mmon ter,,1
common tree snake,ree snak,,1
common triplefin,triplefi,,1
common vole,mmon vol,,1
common vole microtus arvalis,s arvali,s,2
common vs. rare species,e specie,s,54
common weasel mustela nivalis,a nivali,s,2
common-environment study,ent stud,,2
common-garden transplant,ransplan,,6
common-pool resources,resource,s,35
commonness,ommonnes,s,3
commonness and rarity,nd rarit,,1
communal breeding, breedin,,29
communal burrows,l burrow,s,1
communal care,unal car,,1
communal nesting,l nestin,,3
communal nursing,l nursin,,1
communal oviposition,ipositio,,3
communal rearing,l rearin,,1
communal roost,nal roos,,1
communication,unicatio,,24
communication between plants,en plant,s,7
communication gap,ation ga,,2
communication network,n networ,,9
communication signals,n signal,s,2
communities,mmunitie,s,153
communities of butterflies,tterflie,s,13
communities of practice, practic,,2
community,communit,,120
community adaptation,daptatio,,86
community aggregated trait,ted trai,,3
community analysis, analysi,s,397
community and ecosystems ecology,s ecolog,,7
community assemblage,ssemblag,,25
community assembly, assembl,,25
community assembly by trait selection,selectio,,298
community assembly drivers,y driver,s,1
community assembly dynamics, dynamic,s,330
community assembly history,y histor,,6
community assembly mechanisms,echanism,s,44
community assembly rules,bly rule,s,4
community assembly theory,ly theor,,2
community attitudes,attitude,s,4
community attributes,ttribute,s,11
community biomass,y biomas,s,6
community biomass stability,stabilit,,59
community budget,ty budge,,3
community canopy structure,structur,,198
community change,ty chang,,3
community characteristics,teristic,s,30
community classification,ificatio,,174
community coexistence,existenc,,40
community collapse, collaps,,9
community compensatory trend,ory tren,,2
community compensatory trend (cct),end (cct,,1
community complexity,omplexit,,36
community composition,mpositio,,129
community composition and structure,structur,,198
community composition data,tion dat,,12
community concordance,ncordanc,,5
community conservation,servatio,,81
community constraints,nstraint,s,33
community context,y contex,,1
community control,y contro,,3
community convergence,nvergenc,,15
community data,nity dat,,1
community data analysis, analysi,s,397
community density,y densit,,7
community detection,detectio,,20
community development,velopmen,,95
community differentiation,entiatio,,40
community dimension,dimensio,,9
community disassembly,sassembl,,2
community dissimilarity,imilarit,,47
community divergence,ivergenc,,55
community diversity,diversit,,255
community dominance,dominanc,,33
community drift,ity drif,,1
community dynamics modeling, modelin,,95
community dynamics, dynamic,s,330
community dynamics and succession,uccessio,,54
community ecology,y ecolog,,22
community ecology theory,gy theor,,4
"community ecology, statistics",tatistic,s,26
community ecotypes, ecotype,s,2
community effects,y effect,s,26
community engagement,ngagemen,,2
community epidemiology,demiolog,,15
community establishment,blishmen,,17
community evenness, evennes,s,7
community evolution,evolutio,,298
community evolutionary rescue,ry rescu,,3
community feeding pressure, pressur,,21
community forest management,anagemen,,79
community forestry, forestr,,6
community functioning,nctionin,,11
community functional parameters,arameter,s,19
community genetics, genetic,s,39
community genomics, genomic,s,13
community heritability,itabilit,,25
community heterogeneity,rogeneit,,73
community interaction webs,tion web,s,4
community interactions,eraction,s,323
community invasibility,asibilit,,9
community inventory,inventor,,7
community involvement in conservation,servatio,,81
community isolation,isolatio,,55
community level,ity leve,,2
community level modeling, modelin,,95
community management,anagemen,,79
community matrix,ty matri,,2
community matrix and inverse,d invers,,1
community metabolism,etabolis,,31
community modeling, modelin,,95
community models,ty model,s,6
community module,ty modul,,2
community monopolization,olizatio,,5
community networks, network,s,61
community niche,ity nich,,1
community null model,ull mode,,7
community organization,anizatio,,23
community participation,icipatio,,6
community pattern,y patter,,5
community persistence,rsistenc,,30
community phenological sequences,sequence,s,14
community phenotype,phenotyp,,25
community phylogenetic diversity,diversit,,255
community phylogenetics,ogenetic,s,14
community phylogeny,phylogen,,21
community phylogeography,geograph,,41
community population dynamics, dynamic,s,330
community properties,ropertie,s,24
community rate,nity rat,,1
community reassembly,eassembl,,1
community reciprocity,ciprocit,,7
community reconfiguration,iguratio,,6
community recovery, recover,,36
community regulation,egulatio,,60
community reordering,eorderin,,3
community resilience,esilienc,,18
community resistance,esistanc,,97
community respiration,spiratio,,29
community response, respons,,110
community response to nutrient amendments,mendment,s,2
community richness, richnes,s,85
community saturation,aturatio,,28
community selection,selectio,,298
community shifts,ty shift,s,1
community similarity,imilarit,,47
community simulation,imulatio,,25
community size,nity siz,,2
community size hierarchy,hierarch,,22
community size spectra,e spectr,,6
community size structure,structur,,198
community specialization index,ion inde,,31
community specificity,ecificit,,27
community stability,stabilit,,59
community stability disturbance,sturbanc,,66
community stability vs. community complexity,omplexit,,36
community structure,structur,,198
community structure affects invasion success,n succes,s,13
community structure and dynamics, dynamic,s,330
"community structure, spatial",", spatia",,2
community structuring,ructurin,,5
community susceptibility to invasion, invasio,,38
community synchrony,synchron,,32
community temperature index,ure inde,,3
community temporal variability,riabilit,,81
community theory,ty theor,,8
community trait means,ait mean,s,2
community trajectories,jectorie,s,12
community transition,ransitio,,28
community turnover, turnove,,45
community type,nity typ,,1
community variability,riabilit,,81
community variation,variatio,,240
community viability analysis, analysi,s,397
community weighted mean,hted mea,,1
community-aggregated traits,ed trait,s,12
community-based,ity-base,,1
community-based conservation,servatio,,81
community-based forest management,anagemen,,79
community-driven transmission,nsmissio,,42
community-genetic correlations,relation,s,36
community-level coexistence,existenc,,40
community-level fitness function, functio,,101
community-level impacts,l impact,s,2
community-level interactions,eraction,s,323
community-level studies,l studie,s,8
community-level trait values,it value,s,1
community-managed protected area,cted are,,2
community-reduction experiment,xperimen,,142
community-scale effects,e effect,s,64
community-weighted functional traits,al trait,s,40
community-weighted mean traits,an trait,s,2
community-weighted trait means,ait mean,s,2
community-weighted traits,ed trait,s,12
community-weighted variance, varianc,,56
community-wide character displacement,placemen,,30
community-wide losses to insects,o insect,s,1
community-wide metrics,e metric,s,2
community&#8208,ity&#820,,3
commuting costs,ing cost,s,6
comoe national park,onal par,,79
compadre iii database, databas,,9
comparative,mparativ,,2
comparative advantage,advantag,,25
comparative analysis, analysi,s,397
comparative approaches,pproache,s,8
comparative biogeography,geograph,,41
comparative biology,e biolog,,7
comparative community ecology,y ecolog,,22
comparative demography,emograph,,56
comparative diets,ive diet,s,1
comparative ecology,e ecolog,,41
comparative energetics,nergetic,s,22
comparative experiment,xperimen,,142
comparative experimental approach, approac,,32
comparative functional response, respons,,110
comparative genomics, genomic,s,13
comparative mapping,e mappin,,4
comparative method,ve metho,,4
comparative morphology,orpholog,,74
comparative phylogenetics,ogenetic,s,14
comparative phylogenomics,ogenomic,s,6
comparative phylogeography,geograph,,41
comparative physiology,hysiolog,,33
comparative plant demography,emograph,,56
comparative seascape genomics, genomic,s,13
comparative studies,e studie,s,6
comparative study,ive stud,,2
comparative-experimental design,al desig,,10
comparettia falcata,a falcat,,3
comparing diallel experiments,periment,s,55
comparison,ompariso,,35
comparison of analysis methods,s method,s,4
comparison with neotropics,eotropic,s,3
compartment model,ent mode,,21
compartmental,artmenta,,1
compartmental epidemiological model,cal mode,,23
compartmentalization,alizatio,,101
compartmentation,mentatio,,58
compartments,partment,s,1
compatibility,atibilit,,42
compatibility preference,referenc,,57
compatibility types,ity type,s,1
compatibility/resistance,esistanc,,97
compatible genes,ble gene,s,1
compensation,pensatio,,37
compensation effect,on effec,,23
compensation income,on incom,,1
compensation mode,tion mod,,4
compensation point,ion poin,,6
compensation principle,principl,,20
"compensation, exclosures",xclosure,s,5
compensatory ability,y abilit,,1
compensatory adaptation,daptatio,,86
compensatory consumption,nsumptio,,25
compensatory continuum,continuu,,16
compensatory continuum hypothesis,ypothesi,s,335
compensatory dynamics, dynamic,s,330
